"","Transect_Site","WD","logFruitLength","logFruitWidth","logSeedLength","logSeedWidth","logSugar","logFat","logProtein","logNitrogen","logTannins","logSLA","Species","Predicted","tpi","roughness","slope","aspect","flowdir","lat","long"
"1","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Avahi_laniger",0.47887044,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"2","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Cheirogaleus_crossleyi",0.638644872,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"3","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Eulemur_rubriventer",3.804685785,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"4","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Propithecus_edwardsi",2.862997722,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"5","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Lepilemur_microdon",0.310027317,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"6","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Hapalemur_griseus",1.144168841,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"7","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Eulemur_rufifrons",0.551822327,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"8","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Varecia_variegata",0.15218218,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"9","Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Microcebus_rufus",2.797175093,29.625,45,0.880695983,99.65232619,1,-20.992,47.402
"10","Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Avahi_laniger",0.463923041,8.625,34,0.390494706,206.4047433,16,-20.999,47.392
